"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2023","97.54","98.72","99.76","97.54","87.07K","-1.26%"
"01/26/2023","98.78","97.57","98.83","95.99","151.67K","2.41%"
"01/25/2023","96.46","96.15","96.46","94.46","76.73K","0.17%"
"01/24/2023","96.30","97.05","97.05","95.52","83.89K","-0.89%"
"01/23/2023","97.16","96.98","98.11","96.84","180.46K","0.66%"
"01/20/2023","96.52","95.86","96.83","94.93","140.80K","1.25%"
"01/19/2023","95.33","93.50","95.60","92.88","94.75K","1.76%"
"01/18/2023","93.68","95.61","97.39","93.64","170.77K","-1.34%"
"01/17/2023","94.95","95.71","96.43","94.49","74.80K","-0.26%"
"01/13/2023","95.20","94.84","95.45","93.53","138.44K","0.36%"
"01/12/2023","94.86","93.22","95.63","93.22","122.25K","2.43%"
"01/11/2023","92.61","92.89","93.43","91.73","105.39K","0.34%"
"01/10/2023","92.30","92.25","92.59","90.85","113.47K","0.42%"
"01/09/2023","91.91","93.15","93.66","91.67","107.76K","0.34%"
"01/06/2023","91.60","91.11","92.71","90.95","110.29K","1.85%"
"01/05/2023","89.94","88.34","90.34","88.34","90.00K","1.42%"
"01/04/2023","88.68","86.86","89.25","86.43","93.84K","0.46%"
"01/03/2023","88.27","92.01","92.53","87.42","197.75K","-4.94%"
"12/30/2022","92.86","91.79","92.94","91.79","73.03K","0.55%"
"12/29/2022","92.35","90.59","92.72","90.59","90.47K","1.30%"
"12/28/2022","91.16","94.13","94.13","90.93","118.08K","-3.56%"
"12/27/2022","94.53","94.35","94.79","93.68","236.03K","0.90%"
"12/23/2022","93.69","91.36","93.69","91.01","69.22K","3.77%"
"12/22/2022","90.29","93.16","93.16","88.36","100.94K","-3.09%"
"12/21/2022","93.17","92.40","93.29","91.47","79.01K","2.64%"
"12/20/2022","90.77","89.30","91.34","89.30","100.98K","1.23%"
"12/19/2022","89.67","90.99","91.44","89.04","97.26K","-0.70%"
"12/16/2022","90.30","89.45","90.57","88.89","135.14K","-1.67%"
"12/15/2022","91.83","90.91","92.00","89.98","173.29K","0.12%"
"12/14/2022","91.72","93.01","93.48","90.89","154.34K","-0.38%"
"12/13/2022","92.07","92.98","93.22","91.39","164.85K","0.41%"
"12/12/2022","91.69","89.44","91.92","89.39","187.43K","3.07%"
"12/09/2022","88.96","90.76","91.75","88.96","264.29K","-2.23%"
"12/08/2022","90.99","94.47","94.98","90.54","291.65K","-1.93%"
"12/07/2022","92.78","93.01","94.29","91.99","148.72K","-0.26%"
"12/06/2022","93.02","94.98","96.33","92.31","218.19K","-2.93%"
"12/05/2022","95.83","100.70","101.08","95.19","209.66K","-3.69%"
"12/02/2022","99.50","99.78","100.72","98.92","78.21K","-0.83%"
"12/01/2022","100.33","102.37","102.47","100.23","126.76K","-0.86%"
"11/30/2022","101.20","102.62","102.71","99.66","109.56K","0.12%"
"11/29/2022","101.08","100.91","102.06","100.32","127.14K","1.35%"
"11/28/2022","99.73","99.81","101.32","99.29","162.85K","-2.98%"
"11/25/2022","102.79","103.10","103.93","102.66","72.79K","-0.17%"
"11/23/2022","102.96","102.97","104.00","101.83","142.01K","-1.20%"
"11/22/2022","104.21","101.88","104.46","101.56","191.31K","3.88%"
"11/21/2022","100.32","99.91","100.97","97.10","413.45K","-1.82%"
"11/18/2022","102.18","101.19","102.51","99.74","297.48K","-1.28%"
"11/17/2022","103.50","101.79","103.50","101.03","129.56K","0.48%"
"11/16/2022","103.01","104.89","104.89","102.60","109.97K","-2.77%"
"11/15/2022","105.94","104.86","106.06","104.10","166.93K","1.76%"
"11/14/2022","104.11","104.34","106.36","104.04","148.97K","-0.52%"
"11/11/2022","104.65","103.92","105.17","102.99","160.60K","2.74%"
"11/10/2022","101.86","100.98","101.92","99.57","178.58K","3.02%"
"11/09/2022","98.87","103.79","103.79","98.67","255.60K","-5.83%"
"11/08/2022","104.99","105.21","105.43","103.21","195.94K","-0.14%"
"11/07/2022","105.14","103.95","105.61","103.35","346.98K","2.34%"
"11/04/2022","102.74","104.30","105.56","101.04","299.87K","0.73%"
"11/03/2022","102.00","99.10","102.83","98.66","306.61K","2.60%"
"11/02/2022","99.42","101.74","102.41","99.13","262.45K","-2.27%"
"11/01/2022","101.73","102.70","102.70","101.08","229.46K","1.02%"
"10/31/2022","100.70","98.94","102.15","98.82","198.05K","0.92%"
"10/28/2022","99.78","101.55","101.84","97.81","190.21K","-0.48%"
"10/27/2022","100.26","101.76","102.66","100.10","316.83K","0.05%"
"10/26/2022","100.21","99.35","101.11","99.04","305.05K","1.50%"
"10/25/2022","98.73","98.80","99.15","97.60","187.08K","-0.13%"
"10/24/2022","98.86","98.75","99.81","98.11","190.98K","0.22%"
"10/21/2022","98.64","97.30","98.69","95.97","238.03K","2.13%"
"10/20/2022","96.58","97.71","98.85","96.18","439.78K","-0.04%"
"10/19/2022","96.62","94.17","96.95","94.02","230.25K","2.67%"
"10/18/2022","94.11","94.31","95.27","92.41","150.43K","0.87%"
"10/17/2022","93.30","93.43","94.91","92.87","121.10K","1.19%"
"10/14/2022","92.20","95.75","97.01","92.01","149.89K","-4.74%"
"10/13/2022","96.79","91.77","97.25","91.69","219.73K","3.84%"
"10/12/2022","93.21","91.90","93.95","90.67","122.07K","1.26%"
"10/11/2022","92.05","90.86","93.72","90.48","274.56K","-1.01%"
"10/10/2022","92.99","95.03","96.26","92.37","199.22K","-1.77%"
